District Code,District,Building Code,School,AYP Phase,Grade,Title 1,Subgroup,"Participation ELA","Achievement ELA","Participation Math","Achievement Math","Attendance/Graduation"
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,,No Grade,No,Students with Disabilities,Yes,No,Yes,No,-
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,,No Grade,No,White,Yes,No,Yes,No,-
03030,Allegan Public Schools,03535,Allegan Alternative High School,Identified for Restructuring - Implementation,No Grade,No,All Students,-,Yes,-,Yes,No
82955,Allen Academy,09319,Allen Academy,,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
82020,Allen Park Public Schools,08422,Allen Park Community School,Identified for Restructuring - Implementation,D-Alert,No,All Students,No,Yes,No,Yes,Yes
82020,Allen Park Public Schools,08422,Allen Park Community School,Identified for Restructuring - Implementation,D-Alert,No,White,No,-,No,-,Yes
04010,Alpena Public Schools,00075,Alpena High School,,C,No,Students with Disabilities,Yes,Yes,Yes,No,Yes
04010,Alpena Public Schools,07361,OxBow ACES Academy/Alternative and Adult Ed,Identified for Restructuring - Planning,No Grade,No,All Students,No,Yes,No,Yes,No
04010,Alpena Public Schools,07361,OxBow ACES Academy/Alternative and Adult Ed,Identified for Restructuring - Planning,No Grade,No,White,No,-,No,-,No
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,,No Grade,No,All Students,-,No,-,No,-
81010,Ann Arbor Public Schools,08680,Stone High School,Identified for Restructuring - Implementation,D-Alert,No,All Students,No,Yes,No,Yes,Yes
63915,Arts and Technology Academy of Pontiac,08855,Arts and Technology Academy of Pontiac,,D-Alert,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
63070,Avondale School District,00161,Avondale Academy,Corrective Action,D-Alert,No,All Students,No,No,No,Yes,No
80020,Bangor Public Schools,00189,Bangor High School,Identified for Improvement - Year Two,B,Yes,All Students,Yes,Yes,No,Yes,No
80020,Bangor Public Schools,00189,Bangor High School,Identified for Improvement - Year Two,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
80020,Bangor Public Schools,00189,Bangor High School,Identified for Improvement - Year Two,B,Yes,White,Yes,Yes,No,Yes,No
09030,Bangor Township Schools,00190,Christa McAuliffe Middle School,,B,No,Students with Disabilities,Yes,No,Yes,Yes,Yes
08000,Barry ISD,08881,Barry ISD Special Education,,No Grade,No,All Students,-,No,-,No,-
13904,Battle Creek Area Learning Center,08854,Battle Creek Area Learning Center,Corrective Action,C,Yes,All Students,No,Yes,No,Yes,No
13020,Battle Creek Public Schools,00223,Battle Creek Central High School,Identified for Restructuring - Implementation,D-Alert,No,Students with Disabilities,Yes,No,Yes,No,Yes
13020,Battle Creek Public Schools,08574,South Hill Academy,Identified for Restructuring - Implementation,D-Alert,No,All Students,No,Yes,No,Yes,No
13020,Battle Creek Public Schools,08574,South Hill Academy,Identified for Restructuring - Implementation,D-Alert,No,Black or African American,No,-,No,-,No
13020,Battle Creek Public Schools,08574,South Hill Academy,Identified for Restructuring - Implementation,D-Alert,No,Economically Disadvantaged,No,-,No,-,No
13020,Battle Creek Public Schools,04320,W.K. Kellogg Middle School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
09010,Bay City School District,00227,Bay City Central High School,Identified for Restructuring - Implementation,C,No,Students with Disabilities,Yes,No,Yes,Yes,Yes
09010,Bay City School District,04123,Handy Middle School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
09010,Bay City School District,02235,Linsday Elementary School,,B,Yes,Students with Disabilities,No,Yes,Yes,Yes,Yes
09010,Bay City School District,08573,Wenona Center Home of Wenona High/Middle School,Identified for Restructuring - Implementation,D-Alert,No,All Students,-,Yes,-,Yes,No
09901,Bay-Arenac Community High School,05453,Bay-Arenac Community High School,,No Grade,Yes,All Students,-,Yes,-,No,No
09000,Bay-Arenac ISD,09735,ISD-Local Programs,Identified for Improvement - Year Two,No Grade,No,All Students,Yes,No,No,No,-
09000,Bay-Arenac ISD,09735,ISD-Local Programs,Identified for Improvement - Year Two,No Grade,No,Economically Disadvantaged,No,-,No,-,-
09000,Bay-Arenac ISD,09735,ISD-Local Programs,Identified for Improvement - Year Two,No Grade,No,Students with Disabilities,Yes,No,No,No,-
09000,Bay-Arenac ISD,09735,ISD-Local Programs,Identified for Improvement - Year Two,No Grade,No,White,Yes,No,No,No,-
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,,No Grade,No,All Students,-,No,-,No,-
09000,Bay-Arenac ISD,08913,LLC--Arenac Campus,,No Grade,No,All Students,-,No,-,No,-
25240,Beecher Community School District,05687,Beecher Middle School Academy,,D-Alert,Yes,Black or African American,No,Yes,Yes,Yes,Yes
25240,Beecher Community School District,05687,Beecher Middle School Academy,,D-Alert,Yes,Economically Disadvantaged,No,Yes,Yes,Yes,Yes
25240,Beecher Community School District,00439,Tucker Elementary School,,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
34080,Belding Area School District,07570,Belding Adult and Community Education,Identified for Restructuring - Implementation,No Grade,No,All Students,-,Yes,-,Yes,No
50910,Ben Ross Public School Academy,09443,Ben Ross Public School Academy,,C,Yes,All Students,Yes,Yes,Yes,Yes,No
50910,Ben Ross Public School Academy,09443,Ben Ross Public School Academy,,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
50910,Ben Ross Public School Academy,09443,Ben Ross Public School Academy,,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
50910,Ben Ross Public School Academy,09443,Ben Ross Public School Academy,,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,Identified for Restructuring - Implementation,C,No,All Students,No,Yes,No,Yes,No
25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,Identified for Restructuring - Implementation,C,No,Black or African American,No,-,No,-,No
25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,Identified for Restructuring - Implementation,C,No,Economically Disadvantaged,No,-,No,-,No
25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,Identified for Restructuring - Implementation,C,No,White,No,-,No,-,No
11010,Benton Harbor Area Schools,06197,McCord Elementary School,,B,Yes,Students with Disabilities,Yes,No,No,No,Yes
63050,Berkley School District,02928,Tri County Educational Center,Identified for Improvement - Year Two,No Grade,No,All Students,-,Yes,-,Yes,No
11240,Berrien Springs Public Schools,09086,Berrien Springs Alternative Education Center,Corrective Action,No Grade,No,All Students,No,Yes,No,Yes,No
15020,Boyne City Public Schools,08545,Boyne City Alt. Ed. Boyne Valley Campus,Identified for Improvement - Year Two,No Grade,No,All Students,-,Yes,-,No,-
15020,Boyne City Public Schools,08257,Great Lakes Academic Center,,No Grade,No,All Students,-,No,-,Yes,-
12000,Branch ISD,04792,Waldron Learning Center,,No Grade,No,All Students,-,No,-,Yes,-
11210,Brandywine Community Schools,08161,Bell Education Center,Corrective Action,No Grade,No,All Students,-,Yes,-,Yes,No
47010,Brighton Area Schools,09920,Bridge Alternative High School,,No Grade,No,All Students,-,Yes,-,Yes,No
47010,Brighton Area Schools,00402,Brighton High School,Identified for Improvement - Year Two,B,No,Economically Disadvantaged,No,Yes,No,Yes,Yes
73080,Buena Vista School District,00440,Buena Vista High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,No,No,Yes,Yes
73080,Buena Vista School District,00440,Buena Vista High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,No,No,Yes,Yes
73080,Buena Vista School District,00440,Buena Vista High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,Yes,No,Yes,Yes,Yes
72000,C.O.O.R. ISD,07995,C.O.O.R. Special Educational Center,,No Grade,No,All Students,Yes,No,Yes,No,-
72000,C.O.O.R. ISD,07995,C.O.O.R. Special Educational Center,,No Grade,No,Students with Disabilities,Yes,No,Yes,No,-
72000,C.O.O.R. ISD,07995,C.O.O.R. Special Educational Center,,No Grade,No,White,Yes,No,Yes,No,-
83010,Cadillac Area Public Schools,07271,Cooley School,Identified for Restructuring - Planning,No Grade,No,All Students,No,Yes,No,Yes,No
83010,Cadillac Area Public Schools,07271,Cooley School,Identified for Restructuring - Planning,No Grade,No,White,No,-,No,-,No
83010,Cadillac Area Public Schools,08628,Mackinaw Trail Middle School,,B,No,Students with Disabilities,Yes,No,Yes,Yes,Yes
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,Identified for Improvement - Year One,No Grade,No,All Students,Yes,No,Yes,No,-
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,Identified for Improvement - Year One,No Grade,No,Economically Disadvantaged,Yes,No,Yes,No,-
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,Identified for Improvement - Year One,No Grade,No,Students with Disabilities,Yes,No,Yes,No,-
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,Identified for Improvement - Year One,No Grade,No,White,Yes,No,Yes,No,-
13000,Calhoun ISD,05491,Starr Commonwealth for Boys,,No Grade,No,All Students,Yes,Yes,Yes,No,-
25080,Carman-Ainsworth Community Schools,05009,Carman-Ainsworth High School,Identified for Improvement - Year Two,C,No,Students with Disabilities,Yes,No,Yes,Yes,Yes
73030,Carrollton School District,09242,Omni Adult and Alternative Education,Identified for Improvement - Year One,No Grade,Yes,All Students,-,Yes,-,Yes,No
82902,Casa Richard Academy,08046,Casa Richard Academy,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,-,Yes,-,Yes,No
51903,Casman Alternative Academy,08477,Casman Alternative Academy,Identified for Restructuring - Planning,No Grade,Yes,All Students,-,Yes,-,Yes,No
41070,Cedar Springs Public Schools,08033,New Beginnings Alternative High School,Identified for Restructuring - Implementation,No Grade,No,All Students,-,Yes,-,Yes,No
82918,Cesar Chavez Academy,09153,Cesar Chavez High School,Corrective Action,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82918,Cesar Chavez Academy,09153,Cesar Chavez High School,Corrective Action,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82918,Cesar Chavez Academy,09153,Cesar Chavez High School,Corrective Action,C,Yes,Hispanic or Latino,Yes,Yes,Yes,Yes,No
82918,Cesar Chavez Academy,09153,Cesar Chavez High School,Corrective Action,C,Yes,Limited English Proficient,Yes,Yes,Yes,Yes,No
82923,Chandler Park Academy,09825,Chandler Park Academy - High School,,C,Yes,All Students,Yes,Yes,Yes,No,-
82923,Chandler Park Academy,09825,Chandler Park Academy - High School,,C,Yes,Black or African American,Yes,Yes,Yes,No,-
82923,Chandler Park Academy,09825,Chandler Park Academy - High School,,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,No,-
15000,Charlevoix-Emmet ISD,07052,Char-Em Programs,Identified for Improvement - Year One,No Grade,No,All Students,No,No,No,No,-
15000,Charlevoix-Emmet ISD,07052,Char-Em Programs,Identified for Improvement - Year One,No Grade,No,Economically Disadvantaged,No,-,No,-,-
15000,Charlevoix-Emmet ISD,07052,Char-Em Programs,Identified for Improvement - Year One,No Grade,No,Students with Disabilities,No,No,No,No,-
15000,Charlevoix-Emmet ISD,07052,Char-Em Programs,Identified for Improvement - Year One,No Grade,No,White,No,No,No,No,-
23030,Charlotte Public Schools,07757,Charlotte Alternative Education,Corrective Action,No Grade,No,All Students,Yes,Yes,Yes,Yes,No
23030,Charlotte Public Schools,07757,Charlotte Alternative Education,Corrective Action,No Grade,No,White,No,-,No,-,No
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,,No Grade,No,All Students,Yes,No,Yes,No,-
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,,No Grade,No,Students with Disabilities,Yes,No,Yes,No,-
16015,Cheboygan Area Schools,07932,Cheboygan Alternative High School,Identified for Improvement - Year Two,No Grade,No,All Students,-,Yes,-,Yes,No
54025,Chippewa Hills School District,07764,Mosaic School,,D-Alert,No,All Students,No,Yes,No,Yes,-
54025,Chippewa Hills School District,04424,Weidman Elementary School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
50080,Chippewa Valley Schools,07984,Chippewa Valley Adult and Mohegan Alt. Educ.,Identified for Restructuring - Planning,D-Alert,No,All Students,-,Yes,-,Yes,No
82996,Clara B. Ford Academy (SDA),09787,Clara B. Ford Academy (SDA),Identified for Improvement - Year One,No Grade,No,All Students,Yes,No,No,Yes,-
82996,Clara B. Ford Academy (SDA),09787,Clara B. Ford Academy (SDA),Identified for Improvement - Year One,No Grade,No,Economically Disadvantaged,No,-,No,-,-
18010,Clare Public Schools,07754,Clare Pioneer High School,,No Grade,Yes,All Students,-,Yes,-,Yes,No
18000,Clare-Gladwin Regional Education Service District,00777,Clare-Gladwin Area School,,No Grade,No,All Students,-,No,-,No,-
63190,Clarkston Community School District,09010,Clarkston Community Education,Identified for Restructuring - Implementation,D-Alert,No,All Students,No,Yes,No,Yes,No
63190,Clarkston Community School District,09010,Clarkston Community Education,Identified for Restructuring - Implementation,D-Alert,No,White,No,-,No,-,No
63190,Clarkston Community School District,00706,Clarkston High School,,B,No,Students with Disabilities,Yes,Yes,Yes,No,Yes
39020,Climax-Scotts Community Schools,09930,Climax-Scotts Adult/Alternative Ed,,No Grade,No,All Students,-,No,-,Yes,-
50070,Clintondale Community Schools,05031,Clintondale Middle School,,B,No,Students with Disabilities,Yes,No,Yes,Yes,Yes
50070,Clintondale Community Schools,07669,Continuing Education Center,Identified for Restructuring - Planning,No Grade,No,All Students,No,Yes,No,Yes,No
50070,Clintondale Community Schools,07669,Continuing Education Center,Identified for Restructuring - Planning,No Grade,No,Black or African American,No,-,No,-,No
50070,Clintondale Community Schools,07669,Continuing Education Center,Identified for Restructuring - Planning,No Grade,No,Economically Disadvantaged,No,-,No,-,No
50070,Clintondale Community Schools,07669,Continuing Education Center,Identified for Restructuring - Planning,No Grade,No,White,No,-,No,-,No
25150,Clio Area School District,00733,Clio Community Education,Identified for Restructuring - Planning,No Grade,No,All Students,No,Yes,No,Yes,No
25150,Clio Area School District,00733,Clio Community Education,Identified for Restructuring - Planning,No Grade,No,White,No,-,No,-,No
12010,Coldwater Community Schools,01305,Franklin High School,Identified for Restructuring - Implementation,No Grade,No,All Students,-,Yes,-,Yes,No
12010,Coldwater Community Schools,01897,Jefferson Elementary School,,B,Yes,Economically Disadvantaged,No,Yes,No,Yes,Yes
12010,Coldwater Community Schools,02192,Lincoln Elementary School,,B,Yes,Economically Disadvantaged,No,Yes,Yes,Yes,Yes
82914,Colin Powell Academy,09934,Colin Powell Academy - Middle School,,No Grade,Yes,All Students,No,-,No,-,-
82914,Colin Powell Academy,09934,Colin Powell Academy - Middle School,,No Grade,Yes,Black or African American,No,-,No,-,-
82914,Colin Powell Academy,09934,Colin Powell Academy - Middle School,,No Grade,Yes,Economically Disadvantaged,Yes,-,No,-,-
11330,Coloma Community Schools,00754,Coloma Junior High School,,C,Yes,All Students,Yes,No,Yes,Yes,Yes
38040,Columbia School District,05598,Columbia Alternative Education,Identified for Restructuring - Planning,No Grade,No,All Students,-,Yes,-,Yes,No
41080,Comstock Park Public Schools,07061,North Kent High School,Identified for Restructuring - Planning,No Grade,No,All Students,-,Yes,-,Yes,No
39030,Comstock Public Schools,05038,Comstock Compass High School,Identified for Improvement - Year One,No Grade,No,All Students,-,Yes,-,Yes,No
39030,Comstock Public Schools,01042,East Elementary School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
70120,Coopersville Area Public School District,04802,Coopersville Middle School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
70120,Coopersville Area Public School District,09699,New Options High School,Identified for Improvement - Year Two,No Grade,No,All Students,-,Yes,-,No,-
31000,Copper Country ISD,03822,Copper Country Learning Center,,No Grade,No,All Students,Yes,No,Yes,No,-
82991,Covenant House Life Skills Center Central,09649,Covenant House Life Skills Center Central,Corrective Action,No Grade,Yes,All Students,-,No,-,Yes,No
82990,Covenant House Life Skills Center East,09621,Covenant House Life Skills Center East,Corrective Action,D-Alert,Yes,All Students,-,Yes,-,Yes,No
82989,Covenant House Life Skills Center West,09624,Covenant House Life Skills Center West,Corrective Action,No Grade,Yes,All Students,-,Yes,-,Yes,No
80040,Covert Public Schools,00817,Covert High School,Identified for Restructuring - Planning,C,No,Economically Disadvantaged,Yes,Yes,No,Yes,Yes
38901,Da Vinci Institute,08244,Da Vinci Institute (9-12),Identified for Restructuring - Planning,C,No,All Students,-,Yes,-,Yes,No
82994,David Ellis Academy West,09710,David Ellis Academy West,,B,Yes,Students with Disabilities,No,-,No,-,-
25140,Davison Community Schools,07770,Davison Alternative Education,Corrective Action,B,No,All Students,-,Yes,-,Yes,No
82030,Dearborn City School District,09408,Unis Middle School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
82030,Dearborn City School District,05847,Woodworth Middle School,,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,Yes
21000,Delta-Schoolcraft ISD,03370,Learning Center,Identified for Improvement - Year One,No Grade,No,All Students,-,No,-,No,-
08010,Delton-Kellogg School District,07761,Delton-Kellogg Alternative H.S.,,No Grade,No,All Students,No,Yes,No,Yes,No
08010,Delton-Kellogg School District,07761,Delton-Kellogg Alternative H.S.,,No Grade,No,White,No,-,No,-,No
82929,Detroit Academy of Arts and Sciences,09420,Detroit Academy of Arts and Sciences High School,Identified for Restructuring - Planning,D-Alert,Yes,All Students,Yes,Yes,No,Yes,Yes
82929,Detroit Academy of Arts and Sciences,09420,Detroit Academy of Arts and Sciences High School,Identified for Restructuring - Planning,D-Alert,Yes,Black or African American,Yes,Yes,No,Yes,Yes
82010,Detroit City School District,00168,Bagley Elementary School,,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00168,Bagley Elementary School,,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00168,Bagley Elementary School,,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,01552,Barbara Jordan Elementary,Identified for Restructuring - Implementation,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00213,Barton Elementary School,,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00213,Barton Elementary School,,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00213,Barton Elementary School,,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,06631,"Beckham, William Academy",Identified for Restructuring - Implementation,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,06631,"Beckham, William Academy",Identified for Restructuring - Implementation,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,06631,"Beckham, William Academy",Identified for Restructuring - Implementation,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,06631,"Beckham, William Academy",Identified for Restructuring - Implementation,C,Yes,Students with Disabilities,No,No,No,No,No
82010,Detroit City School District,04319,Bow Elementary School,Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04062,"Brown, Ronald Academy",Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04062,"Brown, Ronald Academy",Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04062,"Brown, Ronald Academy",Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,04062,"Brown, Ronald Academy",Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00446,Bunche Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00446,Bunche Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00446,Bunche Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00446,Bunche Elementary School,Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,00456,Burns Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00456,Burns Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00456,Burns Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00456,Burns Elementary School,Identified for Improvement - Year One,B,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00463,Burt Elementary School,Corrective Action,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00463,Burt Elementary School,Corrective Action,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00463,Burt Elementary School,Corrective Action,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00463,Burt Elementary School,Corrective Action,C,Yes,Students with Disabilities,No,-,No,-,-
82010,Detroit City School District,00510,Campbell Elementary School,Identified for Improvement - Year One,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00510,Campbell Elementary School,Identified for Improvement - Year One,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00510,Campbell Elementary School,Identified for Improvement - Year One,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05553,Carleton Elementary School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05553,Carleton Elementary School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05553,Carleton Elementary School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,05553,Carleton Elementary School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,No,Yes,Yes,No
82010,Detroit City School District,00542,Carstens Elementary School,Identified for Improvement - Year One,B,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00542,Carstens Elementary School,Identified for Improvement - Year One,B,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00542,Carstens Elementary School,Identified for Improvement - Year One,B,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00617,Central High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,00617,Central High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,00617,Central High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,00617,Central High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,00739,Cody College Preparatory Upper School of Teaching ,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,No,No,Yes,No
82010,Detroit City School District,00739,Cody College Preparatory Upper School of Teaching ,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,No,No,Yes,No
82010,Detroit City School District,00739,Cody College Preparatory Upper School of Teaching ,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,No,No,Yes,No
82010,Detroit City School District,00739,Cody College Preparatory Upper School of Teaching ,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,00741,Coffey Elementary/Middle School,Identified for Improvement - Year Two,C,Yes,All Students,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00741,Coffey Elementary/Middle School,Identified for Improvement - Year Two,C,Yes,Black or African American,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00741,Coffey Elementary/Middle School,Identified for Improvement - Year Two,C,Yes,Economically Disadvantaged,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00741,Coffey Elementary/Middle School,Identified for Improvement - Year Two,C,Yes,Students with Disabilities,Yes,Yes,Yes,Yes,No
82010,Detroit City School District,00785,Cooley High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,No,Yes,No,Yes,No
82010,Detroit City School District,00785,Cooley High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,No,Yes,No,Yes,No
82010,Detroit City School District,00785,Cooley High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,No,Yes,No,Yes,No
82010,Detroit City School District,00785,Cooley High School,Identified for Restructuring - Implementation,D-Alert,Yes,Students with Disabilities,No,-,No,-,No
82010,Detroit City School District,09474,Cooley North Wing,Identified for Restructuring - Planning,No Grade,Yes,All Students,-,Yes,-,No,-
82010,Detroit City School District,00812,Courtis Elementary School,,D-Alert,No,Students with Disabilities,-,No,-,-,-
82010,Detroit City School District,07024,Crockett High School,Identified for Restructuring - Implementation,D-Alert,Yes,All Students,Yes,Yes,No,Yes,Yes
82010,Detroit City School District,07024,Crockett High School,Identified for Restructuring - Implementation,D-Alert,Yes,Black or African American,Yes,Yes,No,Yes,Yes
82010,Detroit City School District,07024,Crockett High School,Identified for Restructuring - Implementation,D-Alert,Yes,Economically Disadvantaged,Yes,Yes,No,Yes,Yes
