DistCode,BldgCode,SchName,Address,City,Zip5,Zip4,AreaCode,Phone3,Phone4,BldgType,Denom,ISDCode,CountyCode,Admin,CntEmail,SchUpdated,MeetReq,SpEdCount,PrtTimeCnt,NeedyCount,InstrHours,InstrDays,ReligYes,ReligNo,CrtPrmYES,CrtPrmNO,CrimCkYES,CrimCkNO,MICert,MIPermits,NoHSDipl,HSDiploma,Bachelors,OtherCert,TotalTeach,Pre_K,Grade_K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,tot_all,EngRead,Math,SocStudies,Science,USConst,MIConst,History,TCountPrK,TCountK8,TCount9_12,TotTCount,PCountPrK,PCountK8,PCount9_12,TotPCount,OCountPrK,OCountK8,OCount9_12,TotOCounts
05065,01063,EBENEZER CHRISTIAN SCHOOL,"9541 WHITE ST, PO BOX 158",ELLSWORTH,49729,,231,588,2111,Elementary School (Pre-K or K through 6-8),Christian (CSI),15,05,KIMBERLY KARHOFF,EBENEZER@TORCHLAKE.COM,40100.6456481482,Yes,5,0,,,,No,Yes,No,Yes,Yes,No,2,,,,1,3,6,15,8,10,2,3,5,5,1,4,3,,,,,56,1,1,1,1,1,0,1,,,,0,,,,0,,,,0
07040,03328,SACRED HEART SCHOOL,433 BARAGA AVENUE,L'ANSE,49946,,906,524,5157,Elementary School (Pre-K or K through 6-8),Roman Catholic,31,07,ANNE SCHUMER,SACREDHS@UP.NET,40161.4984143519,Yes,,,9,35,170,No,Yes,Yes,No,Yes,No,5,0,0,0,0,0,5,,3,10,3,3,4,6,5,,,,,,,34,1,1,1,1,0,0,0,0,4,0,4,0,1,0,1,0,0,0,0
08010,04699,CEDAR CREEK CHRISTIAN SCHOOL,9213 CEDAR CREEK ROAD,DELTON,49046,,269,623,5543,Elementary through High School (K-12),Unaffiliated - Religious,08,08,PASTOR ROBERT NORTON,PASTORNORTON@MEI.NET,40176.5611921296,No,,,,,,Yes,No,No,No,,,,,,,,,,3,3,6,3,2,6,4,4,5,5,2,1,,1,45,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
08030,02816,HASTINGS SDA SCHOOL,888 TERRY LANE,HASTINGS,49058,,269,945,3896,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),08,08,ANN BARRETT,BDAVIS@MISDA.ORG,40086.662962963,Yes,0,0,,,,No,Yes,Yes,No,Yes,No,1,,,,,,1,,,3,,1,2,2,,2,1,,,,,11,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
33020,09105,PAM'S ACADEMY OF CHAMPIONS,1113 PIERCE ROAD,LANSING,48910,,517,394,2333,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,33,33,PAMELA EATON-CHAMPION,MSPAMFROG@YAHOO.COM,40161.5390277778,Yes,,,,,,Yes,No,No,No,Yes,No,,,,,,,,11,8,3,4,2,,,,,,,,,,28,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
08030,04001,ST ROSE OF LIMA SCHOOL,707 SOUTH JEFFERSON STREET,HASTINGS,49058,,269,945,3164,Elementary School (Pre-K or K through 6-8),Roman Catholic,08,08,BERNADETTE NORRIS,SAINTROSE001@YAHOO.COM,40096.9155208333,Yes,1,0,,,,No,Yes,Yes,No,Yes,No,6,0,0,0,0,0,6,0,19,11,18,12,10,11,14,0,0,0,0,0,0,95,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
08030,06326,BARRY COUNTY CHRISTIAN SCH,2999 MCKEOWN ROAD,HASTINGS,49058,,269,948,2151,Elementary through High School (K-12),Unaffiliated - Religious,08,08,KEN OOSTERHOUSE,OFFICE@BCCSK12.COM,40084.4042476852,Yes,0,2,,35,159,Yes,No,No,No,Yes,No,,,,,,,,14,9,12,3,10,8,6,6,8,7,9,11,9,12,124,1,1,1,1,1,1,1,1,5,3,9,,,1,1,,1,1,2
09010,01449,GRACE LUTHERAN SCHOOL,303 WEST RUTH,AUBURN,48611,,989,662,4791,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,PETER D FREDRICH,PCFREDRICH@ATT.NET,40086.5952314815,Yes,0,0,2,32,176,No,Yes,Yes,No,Yes,No,3,,,,,,3,,3,2,3,4,2,5,4,2,4,,,,,29,1,1,1,1,1,0,1,,3,,3,,,,0,,,,0
09010,01745,HOLY TRINITY SCHOOL,1004 SOUTH WENONA,BAY CITY,48706,,989,892,3018,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,TERRIE DE WAELE,TDEWAELE@BACSCHOOLS.ORG,40086.6786921296,Yes,0,0,5,32,180,No,Yes,Yes,No,Yes,No,6,,,,,,6,27,2,6,9,15,11,11,,,,,,,,81,1,1,1,1,0,0,0,1,5,,6,,1,,1,,,,0
09010,03760,ST JOHNS LUTHERAN AMELITH,1664 AMELITH ROAD,BAY CITY,48706,,989,686,0176,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,JENNIFER ENGE,OFFICE@STJOHN-AMELITH.ORG,40161.4994212963,Yes,,,,,,No,Yes,Yes,No,Yes,No,5,1,0,0,0,0,6,29,14,14,10,5,10,11,8,6,4,,,,,111,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
09010,03810,AUBURN AREA CATHOLIC SCHOOL,114 WEST MIDLAND ROAD,AUBURN,48611,,989,662,6431,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,TERRI DUCH,TDUCH@AUBURNAC.ORG,40086.4233217593,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,4,0,0,0,1,0,5,28,10,7,7,8,7,9,,,,,,,,76,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
09010,04209,TRINITY EV LUTHERAN SCHOOL,2515 BROADWAY,BAY CITY,48708,,989,894,2092,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),09,09,RYAN HILL,RYANRHILL@SBCGLOBAL.NET,40090.8737384259,Yes,0,0,,,,Yes,No,No,Yes,Yes,No,,,,,,,7,24,10,6,4,12,10,11,11,13,8,,,,,109,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
09010,04628,ZION LUTHERAN SCHOOL,1707 SOUTH KIESEL STREET,BAY CITY,48706,,989,893,5793,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,JANET LA ROCQUE,JELAROCQUE@ZIONLTH.ORG,40090.9086574074,Yes,0,0,20,35,170,No,Yes,Yes,No,Yes,No,7,0,,,,,7,23,10,7,8,10,17,13,6,4,7,,,,,105,1,1,1,1,1,1,1,,6,,6,,1,,1,,,,0
09010,04629,ZION LUTHERAN BEAVER SCHOOL,1557 SEIDLER ROAD,AUBURN,48611,,989,662,4264,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,DENNIS SCHMIDT,DSZION@HOTMAIL.COM,40090.9076736111,Yes,0,1,24,34,173,No,Yes,Yes,No,Yes,No,6,,,,,,6,,13,6,15,12,12,13,8,3,4,,,,,86,1,1,1,1,1,1,1,,5,,5,,,,0,,,,0
09010,04939,ALL SAINTS CENTRAL SCHOOL,217 SOUTH MONROE STREET,BAY CITY,48708,,989,892,2533,Elementary through High School (K-12),Roman Catholic,09,09,JOHN HOVING,JHOVING@BAYAREACATHOLICSCHOOLS.ORG,40161.5020833333,Yes,8,1,80,35,170,No,Yes,Yes,No,Yes,No,14,0,0,0,0,0,14,,,,,,,,43,32,40,48,32,36,38,269,1,1,1,1,1,1,1,0,5,9,14,0,1,1,2,0,0,0,0
09010,05435,ST BARTHOLOMEW LUTHERAN SCH,1033 EAST BEAVER ROAD,KAWKAWLIN,48631,,989,684,6751,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),09,09,MARK BOILEAU, ,40161.5028356481,Yes,,,,,,Yes,No,No,No,Yes,No,,,,,,,,21,6,5,4,5,9,8,6,6,4,,,,,74,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
09010,05448,ST JAMES ELEMENTARY SCHOOL,715 14TH STREET,BAY CITY,48708,,989,892,4371,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,LINDA GILLES,LGILLES@BAYAREACATHOLICSCHOOLS.ORG,40096.8360416667,Yes,2,0,,,,No,Yes,Yes,No,Yes,No,10,,,,,,10,37,15,13,16,19,17,21,,,,,,,,138,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
58020,09309,LUTHERAN HIGH SCHOOL SOUTH,8210 NORTH TELEGRAPH ROAD,NEWPORT,48166,,734,586,8832,Senior High School (9-12 or 10-12),Lutheran (Missouri Synod),58,58,STEVEN GARRABRANT,SGARRABRANT@LUTHERNHIGHSOUTH.COM,40161.3874537037,Yes,0,0,0,41,180,No,Yes,Yes,No,Yes,No,6,,,,,,6,,,,,,,,,,,18,21,8,11,58,1,1,1,1,1,1,1,,,2,2,,,1,1,,,,0
81140,09369,AGNUS DEI ACADEMY,11648 NORTH MAIN STREET,WHITMORE LAKE,48189,,734,449,4090,Elementary School (Pre-K or K through 6-8),Roman Catholic,81,81,MARY E BRADY, AGNUSDEIACADEMY@RC.NET,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
62040,09461,PROVIDENCE CHRISTIAN HIGH,5479 WEST 72ND STREET,FREMONT,49412,,231,924,9780,Senior High School (9-12 or 10-12),Christian (CSI),62,62,MARK LUCKEY,MLUCKEY@PCHSMI.ORG,40090.7631134259,Yes,0,0,,35,173,No,Yes,No,Yes,Yes,No,7,,,,1,,8,,,,,,,,,,,19,16,23,10,68,1,1,1,1,1,1,1,,,6,6,,,1,1,,,,0
09010,05456,ST JOHNS LUTHERAN SCHOOL,210 SOUTH ALP STREET,BAY CITY,48706,,989,684,6442,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),09,09,MICHAEL W FALK,SJLBC210@YAHOO.COM,40232.6280671296,Yes,4,0,,30,171,Yes,No,No,Yes,Yes,No,1,,0,1,4,1,6,24,10,6,8,11,9,12,4,7,4,,,,,95,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
09010,05482,ST PAUL LUTHERAN SCHOOL,6094 WESTSIDE SAGINAW ROAD,BAY CITY,48706,,989,684,4450,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,JERRY EISMAN,STPAULFRANKENLUST@MAIL.COM,40161.5041435185,Yes,,,24,33,176,No,Yes,Yes,No,Yes,No,5,0,0,0,0,0,5,35,11,5,7,6,8,10,13,2,11,,,,,108,1,1,1,1,1,0,1,,,,0,,,,0,,,,0
09010,05514,TRINITY LUTHERAN MONITOR,20 EAST SALZBURG ROAD,BAY CITY,48706,,989,662,4891,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),09,09,HENRY M PICKELMANN,HPICKELMANN@TRINITYMONITOR.ORG,40161.5053125,Yes,2,,16,35,173,No,Yes,Yes,No,Yes,No,6,0,0,0,0,0,6,19,5,8,6,5,8,9,7,6,8,,,,,81,1,1,1,1,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0
09010,05666,ST STANISLAUS SCHOOL,900 SOUTH GRANT,BAY CITY,48708,,989,893,5085,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,CHRISTINE SZATKOWSKI,CSZATKOWSKI@BAYAREACATHOLICSCHOOLS.ORG,40096.9209375,Yes,1,0,13,30,180,No,Yes,Yes,No,Yes,No,4,0,,,,,4,29,10,4,8,4,7,6,,,,,,,,68,1,1,1,1,0,0,0,1,4,0,5,0,1,0,1,0,1,0,1
09050,03756,ST JOHN SCHOOL,619 MAIN STREET,ESSEXVILLE,48732,,989,892,0363,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,SUE GRZEGORCZYK,SUEGRZEG@YAHOO.COM,40096.8406018519,Yes,5,0,17,32,171,No,Yes,Yes,No,Yes,No,4,0,0,0,0,0,4,24,11,10,5,12,6,10,,,,,,,,78,1,1,1,1,0,0,0,1,4,,5,,1,,1,,,,0
09090,03610,ST ANNE SCHOOL,317 WEST CENTER STREET,LINWOOD,48634,0548,989,697,3100,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,JOHN GRAVLIN JR,JGRAVLIN@STANNELINWOOD.COM,40096.7946296296,Yes,3,0,5,35,167,No,Yes,Yes,No,Yes,No,5,,,,,,5,25,8,3,11,0,3,6,6,,,,,,,62,1,1,1,1,0,0,0,1,4,,5,,1,,1,,,,0
09090,03927,ST MICHAEL SCHOOL,310 EAST SECOND STREET,PINCONNING,48650,,989,879,3063,Elementary School (Pre-K or K through 6-8),Roman Catholic,09,09,ROBIN A HONARD,RHONARD@STANNELINWOOD.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
11010,00206,BROOKVIEW SCHOOL,501 ZOLLAR DRIVE,BENTON HARBOR,49022,,269,925,3544,Elementary School (Pre-K or K through 6-8),Unaffiliated - Secular,11,11,JENNIFER SPIKNER,GBARFIELD@BROOKVIEWSCHOOL.ORG,40161.5065856481,Yes,,,,,,No,Yes,No,Yes,Yes,No,1,0,0,5,5,0,11,71,14,9,10,9,5,3,3,2,3,1,,,,130,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
11020,03755,LAKE MICHIGAN CATHOLIC SCH,3165 WASHINGTON AVENUE,ST JOSEPH,49085,,269,429,0227,Elementary School (Pre-K or K through 6-8),Roman Catholic,11,11,JODY MAHER,catholicprincipal@yahoo.com,40089.697337963,Yes,3,0,,,,No,Yes,No,Yes,Yes,No,16,,,1,4,,21,55,40,52,33,30,36,32,,,,,,,,278,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
11020,04210,TRINITY LUTHERAN SCHOOL,613 COURT STREET,ST JOSEPH,49085,,269,983,3056,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),11,11,JULIAN PETZOLD,JULIAN.PETZOLD@DISCOVERTRINITY.ORG,40068.7854166667,Yes,2,0,,,,No,Yes,No,Yes,Yes,No,12,,,1,,1,14,14,27,14,11,21,14,15,22,7,10,0,0,0,0,155,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
47010,09537,HOLY SPIRIT ROMAN CATHOLIC,9565 MUSCH ROAD,BRIGHTON,48116,,810,231,9199,Elementary School (Pre-K or K through 6-8),Roman Catholic,47,47,ANNA PICCIRILLO,holyspiritschool@chartermi.net,40100.6479513889,Yes,4,0,1,32,170,No,Yes,Yes,No,Yes,No,6,0,0,0,0,0,6,6,6,5,4,2,8,7,8,10,3,0,0,0,0,59,1,1,1,1,1,1,1,1,4,,5,,1,,1,,1,,1
11020,05129,GRACE LUTHERAN SCHOOL,404 EAST GLENLORD ROAD,ST JOSEPH,49085,,269,429,4951,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),11,11,DAVID SNYDER, ,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
11020,06012,MICHIGAN LUTHERAN HIGH SCH,615 EAST MARQUETTE WOODS RD,ST JOSEPH,49085,,269,429,7861,Senior High School (9-12 or 10-12),Lutheran (Wisconsin Synod),11,11,MICHAEL BUTZOW,mlhstitans@hotmail.com,40043.3513541667,Yes,4,0,6,35,175,Yes,No,No,No,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,35,35,27,35,132,1,1,1,1,1,1,1,0,0,10,10,0,0,1,1,0,0,2,2
11030,03961,ST PAUL'S LUTHERAN SCHOOL,2673 WEST JOHN BEERS ROAD,STEVENSVILLE,49127,,269,429,1546,Elementary School (Pre-K or K through 6-8),Lutheran (Wisconsin Synod),11,11,RON SCHLEEF,baf@stpaulslwels.org,40100.6511689815,Yes,5,0,,,,No,Yes,No,Yes,Yes,No,4,0,0,0,2,1,7,22,14,7,11,7,12,8,6,13,10,0,0,0,0,110,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
11030,05942,CHRIST LUTHERAN SCHOOL,4333 CLEVELAND AVENUE,STEVENSVILLE,49127,,269,429,7111,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),11,11,CHARLES STROHACKER,cnschmaltz45@yahoo.com,40086.4392361111,Yes,0,0,3,30,172,No,Yes,Yes,No,Yes,No,9,0,,,,,9,26,9,13,15,12,15,12,10,11,17,,,,,140,1,1,1,1,1,0,0,,9,,9,,1,,1,,,,0
11033,04215,TRINITY LUTHERAN SCHOOL,5791 SAWYER ROAD  PO BOX 247,SAWYER,49125,,269,426,3151,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),11,11,KATHI BECKMAN,JUSTMEMRSB@YAHOO.COM,40072.4200810185,Yes,,,,,,No,Yes,Yes,No,Yes,No,4,,,,,,4,21,4,0,2,2,4,4,6,0,0,0,0,0,0,43,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
11200,03881,ST MARY OF THE LAKE SCHOOL,704 WEST MERCHANT STREET,NEW BUFFALO,49117,,269,469,1515,Elementary School (Pre-K or K through 6-8),Roman Catholic,11,11,KATHLEEN KELLY,KELLYSEA66@YAHOO.COM,40096.870775463,Yes,5,0,,,,No,Yes,Yes,No,Yes,No,9,,,,,,9,25,7,6,9,8,9,10,14,9,12,0,0,0,0,109,1,1,1,1,1,1,0,,,,0,,,,0,,,,0
11240,00515,UNIVERSITY SCH-ANDREWS ACAD,ANDREWS UNIVERSITY,BERRIEN SPRINGS,49104,,269,471,3138,Senior High School (9-12 or 10-12),Seventh Day Adventist (SDA),11,11,CLEON WHITE,BDAVIS@MISDA.ORG,40090.8865625,Yes,0,9,39,36,179,No,Yes,No,Yes,Yes,No,12,,,0,3,2,17,,,,,,,,,,,62,62,62,61,247,1,1,1,1,1,1,1,,,15,15,,,1,1,,,1,1
11240,04976,VILLAGE SDA ELEM SCHOOL,409 WEST MARS STREET,BERRIEN SPRINGS,49103,,269,473,5121,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),11,11,JOHN A CHEN,BDAVIS@MISDA.ORG,40090.8877314815,Yes,0,0,,,,No,Yes,Yes,No,Yes,No,10,,,,,,10,7,14,14,19,19,22,14,20,18,23,,,,,170,1,1,1,1,1,1,1,,,,0,,,,0,,,,0
11240,05513,TRINITY LUTHERAN SCHOOL,9123 GEORGE STREET,BERRIEN SPRINGS,49103,,269,473,1811,Elementary School (Pre-K or K through 6-8),Lutheran (Missouri Synod),11,11,DEBORAH WEDDE,TRUCKS3904@CS.COM,40090.8747453704,Yes,0,0,,,,No,Yes,Yes,No,Yes,No,6,0,,,,,6,12,8,9,8,3,3,8,6,4,6,,,,,67,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
11250,06332,EAU CLAIRE SDA SCHOOL,6562 NAOMI ROAD,EAU CLAIRE,49111,,269,944,4132,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),11,11,JAMES O GRAY,BDAVIS@MISDA.ORG,40086.5298958333,Yes,0,0,,,,No,Yes,No,Yes,Yes,No,1,,,,,1,2,,5,5,3,2,1,,6,4,1,,,,,27,1,1,1,1,1,0,0,,,,0,,,,0,,,,0
11300,03911,ST MARY SCHOOL,217 SOUTH LINCOLN,NILES,49120,,269,683,9191,Elementary School (Pre-K or K through 6-8),Roman Catholic,11,11,MARIE DOYLE,MARIEDOYLE@ROCKETMAIL.COM,40096.8729398148,Yes,4,0,23,32,171,No,Yes,Yes,No,Yes,No,6,0,,,,,6,26,19,13,11,6,8,9,1,,,,,,,93,1,1,1,1,0,0,0,1,6,,7,,1,,1,,,,0
11300,05297,NILES SDA SCHOOL,110 NORTH FAIRVIEW,NILES,49120,,269,683,5444,Elementary School (Pre-K or K through 6-8),Seventh Day Adventist (SDA),11,11,MICHAEL JAKOBSONS,BDAVIS@MISDA.ORG,40089.9201157407,Yes,0,7,10,34,176,No,Yes,Yes,No,Yes,No,4,,,,,,4,3,7,4,6,9,5,7,6,12,5,,,,,64,1,1,1,1,1,1,1,,4,,4,,,,0,,,,0
11320,03790,ST JOSEPH CATHOLIC SCHOOL,188 LUCINDA LANE,WATERVLIET,49098,,269,463,3941,Elementary School (Pre-K or K through 6-8),Roman Catholic,11,11,DAVID M LOEBACH,SAINTJOSEPHS@COMCAST.NET,40157.844525463,Yes,,,,,,No,Yes,Yes,No,Yes,No,6,,,,,,6,14,12,14,6,17,4,7,5,0,0,0,0,0,0,79,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
11320,07177,GRACE CHRISTIAN SCHOOL,325 N M-140,WATERVLIET,49098,,269,463,5545,Elementary through High School (K-12),Unaffiliated - Religious,11,11,JOHN A DAVIS,JKOHNS@GCSPATRIOTS.COM,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
12010,06451,WOODLAND SDA SCHOOL,128 EAST BARNHART ROAD,COLDWATER,49036,,517,278,4650,Elementary through High School (K-12),Seventh Day Adventist (SDA),12,12,CATHERINE A BUELL,BDAVIS@MISDA.ORG,40090.9044328704,Yes,2,0,6,30,176,No,Yes,Yes,No,Yes,No,2,,,,,,2,,,,2,2,,,2,1,3,,2,,,12,1,1,1,1,1,1,1,,2,,2,,,,0,,,,0
12020,03903,ST MARY ASSUMPTION SCHOOL,204 ALBERS ROAD,BRONSON,49028,,517,369,4625,Elementary School (Pre-K or K through 6-8),Roman Catholic,12,12,SHARON ALEXANDER,STMARYPRINCIPAL@CHARTERINTERNET.COM,40100.6490856481,Yes,3,0,18,31,172,No,Yes,No,Yes,Yes,No,5,0,0,0,1,0,6,8,17,7,5,10,10,3,5,4,10,,,,,79,1,1,1,1,1,1,1,1,5,,6,1,1,,2,,,,0
12020,06473,GOLDEN RULE SCHOOL,PLEASANT HILL ROAD,BRONSON,49028,,517,369,1010,Elementary School (Pre-K or K through 6-8),Unaffiliated - Religious,12,12,JOAS M BONTRAGER, ,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0
12040,06915,BOWEN CREEK AMISH SCHOOL,C/O 654 CLARENDON ROAD,QUINCY,49082,,517,617,0296,Elementary School (Pre-K or K through 6-8),Unaffiliated - Religious,12,12,CATHERINE STEURY, ,40161.5088078704,Yes,,,,30,162,Yes,No,No,No,Yes,No,0,0,0,0,0,0,3,,,8,12,7,8,6,6,8,5,,,,,60,1,1,1,1,0,0,0,,,,0,,,,0,,,,0
