"DCODE-BCODE";"DNAME - BNAME";"DCODE";"DNAME";0;"BCODE";"BNAME";0
"03020-04851";"OTSEGO PUBLIC SCHOOLS - ALAMO ELEMENTARY SCHOOL";"06020";"AU GRES-SIMS SCHOOL DISTRICT";0;"00059";"L.E. WHITE MIDDLE SCHOOL";0
"03030-00000";"ALLEGAN PUBLIC SCHOOLS - ALL SCHOOLS";"06050";"STANDISH-STERLING COMMUNITY SCHOOLS";0;"00062";"ALLEGAN HIGH SCHOOL";0
"03030-00059";"ALLEGAN PUBLIC SCHOOLS - L.E. WHITE MIDDLE SCHOOL";"07010";"ARVON TOWNSHIP SCHOOL DISTRICT";0;"00064";"ALLEN ELEMENTARY SCHOOL";0
"03030-00062";"ALLEGAN PUBLIC SCHOOLS - ALLEGAN HIGH SCHOOL";"07020";"BARAGA AREA SCHOOLS";0;"00065";"ALLEN PARK HIGH SCHOOL";0
"03030-00881";"ALLEGAN PUBLIC SCHOOLS - DAWSON ELEMENTARY SCHOOL";"07040";"L'ANSE AREA SCHOOLS";0;"00069";"EVERGREEN ELEMENTARY";0
"03030-02748";"ALLEGAN PUBLIC SCHOOLS - NORTH WARD ELEMENTARY SCHOOL";"08010";"DELTON-KELLOGG SCHOOL DISTRICT";0;"00072";"WATERFORD ALTERNATIVE HIGH SCHOOL - MANLEY CAMPUS";0
"03030-03535";"ALLEGAN PUBLIC SCHOOLS - ALLEGAN ALTERNATIVE HIGH SCHOOL";"08030";"HASTINGS AREA SCHOOL DISTRICT";0;"00073";"ALMONT HIGH SCHOOL";0
"03030-04469";"ALLEGAN PUBLIC SCHOOLS - WEST WARD ELEMENTARY SCHOOL";"08050";"THORNAPPLE KELLOGG SCHOOL DISTRICT";0;"00074";"ALMONT ELEMENTARY SCHOOL";0
"03030-05954";"ALLEGAN PUBLIC SCHOOLS - PINE TRAILS ELEMENTARY SCHOOL";"09010";"BAY CITY SCHOOL DISTRICT";0;"00075";"ALPENA HIGH SCHOOL";0
"03040-00000";"WAYLAND UNION SCHOOLS - ALL SCHOOLS";"09030";"BANGOR TOWNSHIP SCHOOLS";0;"00076";"ALTO ELEMENTARY SCHOOL";0
"03040-00936";"WAYLAND UNION SCHOOLS - DORR SCHOOL";"09050";"ESSEXVILLE-HAMPTON PUBLIC SCHOOLS";0;"00077";"NORTHEASTERN ELEMENTARY SCHOOL";0
"03040-03224";"WAYLAND UNION SCHOOLS - R.J. STEEBY SCHOOL";"09090";"PINCONNING AREA SCHOOLS";0;"00078";"ALUMNI MEMORIAL SCHOOL";0
"03040-04404";"WAYLAND UNION SCHOOLS - WAYLAND HIGH SCHOOL";"09901";"BAY-ARENAC COMMUNITY HIGH SCHOOL";0;"00079";"ALWARD ELEMENTARY SCHOOL";0
"03040-06778";"WAYLAND UNION SCHOOLS - PINE STREET ELEMENTARY ";"09902";"BAY COUNTY PSA";0;"00081";"AMBERLY ELEMENTARY SCHOOL";0
"03040-08421";"WAYLAND UNION SCHOOLS - WAYLAND UNION MIDDLE SCHOOL";"10015";"BENZIE COUNTY CENTRAL SCHOOLS";0;"00082";"EARHART MIDDLE SCHOOL";0
"03050-00000";"FENNVILLE PUBLIC SCHOOLS - ALL SCHOOLS";"10025";"FRANKFORT-ELBERTA AREA SCHOOLS";0;"00083";"AMERMAN ELEMENTARY SCHOOL";0
"03050-01217";"FENNVILLE PUBLIC SCHOOLS - FENNVILLE PUBLIC HIGH SCHOOL";"11000";"BERRIEN RESA";0;"00088";"ANCHOR BAY MIDDLE SCHOOL NORTH";0
"03050-05790";"FENNVILLE PUBLIC SCHOOLS - PEARL ALTERNATIVE/ADULT EDUCATION SCHOOL";"11010";"BENTON HARBOR AREA SCHOOLS";0;"00089";"ANCHOR BAY HIGH SCHOOL";0
"03050-07311";"FENNVILLE PUBLIC SCHOOLS - FENNVILLE MIDDLE SCHOOL";"11020";"ST. JOSEPH PUBLIC SCHOOLS";0;"00091";"ASHLEY ELEMENTARY SCHOOL";0
"03050-07494";"FENNVILLE PUBLIC SCHOOLS - FENNVILLE ELEMENTARY SCHOOL";"11030";"LAKESHORE SCHOOL DISTRICT (BERRIEN)";0;"00093";"ANDERSON MIDDLE SCHOOL";0
"03060-00000";"MARTIN PUBLIC SCHOOLS - ALL SCHOOLS";"11033";"RIVER VALLEY SCHOOL DISTRICT";0;"00094";"ANDERSON SCHOOL";0
"03060-02402";"MARTIN PUBLIC SCHOOLS - MARTIN HIGH SCHOOL";"11160";"GALIEN TOWNSHIP SCHOOL DISTRICT";0;"00095";"ANDERSONVILLE ELEMENTARY SCHOOL";0
"03060-06034";"MARTIN PUBLIC SCHOOLS - ROBERT D. BRANDON ELEM. SCHOOL";"11200";"NEW BUFFALO AREA SCHOOLS";0;"00099";"ANGELL SCHOOL";0
"03070-00000";"HOPKINS PUBLIC SCHOOLS - ALL SCHOOLS";"11210";"BRANDYWINE COMMUNITY SCHOOLS";0;"00100";"ANGLING ROAD ELEMENTARY SCHOOL";0
"03070-01756";"HOPKINS PUBLIC SCHOOLS - HOPKINS ELEMENTARY SCHOOL";"11240";"BERRIEN SPRINGS PUBLIC SCHOOLS";0;"00103";"ANN ARBOR TRAIL MAGNET MIDDLE SCHOOL";0
"03070-01757";"HOPKINS PUBLIC SCHOOLS - HOPKINS HIGH SCHOOL";"11250";"EAU CLAIRE PUBLIC SCHOOLS";0;"00105";"ANN VISGER PRIMARY SCHOOL";0
"03070-06025";"HOPKINS PUBLIC SCHOOLS - SYCAMORE ELEMENTARY SCHOOL";"11300";"NILES COMMUNITY SCHOOL DISTRICT";0;"00106";"BESSER ELEMENTARY SCHOOL";0
"03070-08807";"HOPKINS PUBLIC SCHOOLS - HOPKINS MIDDLE SCHOOL";"11310";"BUCHANAN COMMUNITY SCHOOLS";0;"00112";"ARBOR ELEMENTARY SCHOOL";0
"03080-00000";"SAUGATUCK PUBLIC SCHOOLS - ALL SCHOOLS";"11320";"WATERVLIET SCHOOL DISTRICT";0;"00113";"ARCADIA ELEMENTARY SCHOOL";0
"03080-00941";"SAUGATUCK PUBLIC SCHOOLS - DOUGLAS ELEMENTARY SCHOOL";"11330";"COLOMA COMMUNITY SCHOOLS";0;"00116";"ARDMORE ELEMENTARY SCHOOL";0
"03080-03409";"SAUGATUCK PUBLIC SCHOOLS - SAUGATUCK HIGH SCHOOL";"11340";"BRIDGMAN PUBLIC SCHOOLS";0;"00119";"ARMADA AREA HIGH SCHOOL";0
"03080-08889";"SAUGATUCK PUBLIC SCHOOLS - SAUGATUCK MIDDLE SCHOOL";"11670";"HAGAR TOWNSHIP S/D #6";0;"00121";"ARNO ELEMENTARY SCHOOL";0
"03100-00000";"HAMILTON COMMUNITY SCHOOLS - ALL SCHOOLS";"11830";"SODUS TOWNSHIP S/D #5";0;"00124";"VANDENBERG ELEMENTARY SCHOOL";0
"03100-01545";"HAMILTON COMMUNITY SCHOOLS - HAMILTON ELEMENTARY SCHOOL";"11901";"COUNTRYSIDE ACADEMY";0;"00125";"ARTHUR HILL HIGH SCHOOL";0
"03100-01547";"HAMILTON COMMUNITY SCHOOLS - HAMILTON HIGH SCHOOL";"11903";"BENTON HARBOR CHARTER SCHOOL";0;"00128";"ARVON TOWNSHIP SCHOOL";0
"03100-01548";"HAMILTON COMMUNITY SCHOOLS - BLUE STAR ELEMENTARY SCHOOL";"11904";"MILDRED C. WELLS PREPARATORY ACADEMY";0;"00131";"ASHLEY HIGH SCHOOL";0
"03100-03403";"HAMILTON COMMUNITY SCHOOLS - SANDYVIEW ELEMENTARY SCHOOL";"11905";"DREAM ACADEMY";0;"00136";"ATHENS HIGH SCHOOL";0
"03100-04975";"HAMILTON COMMUNITY SCHOOLS - BENTHEIM ELEMENTARY SCHOOL";"12000";"BRANCH ISD";0;"00137";"ATHENS MIDDLE SCHOOL";0
"03100-08890";"HAMILTON COMMUNITY SCHOOLS - HAMILTON MIDDLE SCHOOL";"12010";"COLDWATER COMMUNITY SCHOOLS";0;"00138";"ATHERTON HIGH SCHOOL";0
"03440-00000";"GLENN PUBLIC SCHOOL DISTRICT - ALL SCHOOLS";"12020";"BRONSON COMMUNITY SCHOOL DISTRICT";0;"00139";"ATHERTON MIDDLE SCHOOL";0
"03440-01415";"GLENN PUBLIC SCHOOL DISTRICT - GLENN PUBLIC SCHOOL";"12040";"QUINCY COMMUNITY SCHOOL DISTRICT";0;"00144";"ATTWOOD SCHOOL";0
"03901-00000";"DISCOVERY ELEMENTARY SCHOOL - ALL SCHOOLS";"12901";"PANSOPHIA ACADEMY";0;"00145";"ATWOOD ELEMENTARY SCHOOL";0
"03901-08321";"DISCOVERY ELEMENTARY SCHOOL - DISCOVERY ELEMENTARY SCHOOL";"13000";"CALHOUN ISD";0;"00146";"AU GRES-SIMS ELEMENTARY SCHOOL";0
"03902-00000";"OUTLOOK ACADEMY - ALL SCHOOLS";"13010";"ALBION PUBLIC SCHOOLS";0;"00147";"AU GRES-SIMS MIDDLE AND HIGH SCHOOL";0
"03902-09085";"OUTLOOK ACADEMY - OUTLOOK ACADEMY";"13020";"BATTLE CREEK PUBLIC SCHOOLS";0;"00148";"AUBURN ELEMENTARY SCHOOL";0
"04010-00000";"ALPENA PUBLIC SCHOOLS - ALL SCHOOLS";"13050";"ATHENS AREA SCHOOLS";0;"00150";"AUBURN ELEMENTARY SCHOOL";0
"04010-00075";"ALPENA PUBLIC SCHOOLS - ALPENA HIGH SCHOOL";"13070";"HARPER CREEK COMMUNITY SCHOOLS";0;"00154";"BAY PINES CENTER";0
"04010-00106";"ALPENA PUBLIC SCHOOLS - BESSER ELEMENTARY SCHOOL";"13080";"HOMER COMMUNITY SCHOOLS";0;"00155";"AVALON ELEMENTARY SCHOOL";0
"04010-01110";"ALPENA PUBLIC SCHOOLS - ELLA M. WHITE SCHOOL";"13090";"LAKEVIEW SCH. DISTRICT (CALHOUN)";0;"00157";"AVOCA ELEMENTARY SCHOOL";0
"04010-01688";"ALPENA PUBLIC SCHOOLS - HINKS SCHOOL";"13095";"MAR LEE SCHOOL DISTRICT";0;"00160";"MEADOWS UPPER ELEMENTARY SCHOOL";0
"04010-02185";"ALPENA PUBLIC SCHOOLS - LINCOLN COMMUNITY SCHOOL";"13110";"MARSHALL PUBLIC SCHOOLS";0;"00161";"AVONDALE ACADEMY";0
"04010-02251";"ALPENA PUBLIC SCHOOLS - LONG RAPIDS ELEMENTARY SCHOOL";"13120";"PENNFIELD SCHOOL DISTRICT";0;"00163";"ANN ARBOR OPEN AT MACK SCHOOL";0
"04010-03392";"ALPENA PUBLIC SCHOOLS - SANBORN SCHOOL";"13130";"TEKONSHA COMMUNITY SCHOOLS";0;"00165";"BAD AXE HIGH SCHOOL";0
"04010-04552";"ALPENA PUBLIC SCHOOLS - WILSON COMMUNITY SCHOOL";"13135";"UNION CITY COMMUNITY SCHOOLS";0;"00166";"BAD AXE JUNIOR HIGH SCHOOL";0
"04010-05499";"ALPENA PUBLIC SCHOOLS - SUNSET ELEMENTARY SCHOOL";"13901";"ARBOR ACADEMY";0;"00168";"BAGLEY ELEMENTARY SCHOOL";0
"04010-05507";"ALPENA PUBLIC SCHOOLS - THUNDER BAY JUNIOR HIGH SCHOOL";"13902";"ENDEAVOR CHARTER ACADEMY";0;"00170";"BAILEY LAKE ELEMENTARY  SCHOOL";0
"04010-07361";"ALPENA PUBLIC SCHOOLS - OXBOW ACES ACADEMY/ALTERNATIVE AND ADULT ED";"13903";"MARSHALL ACADEMY";0;"00174";"BAKER MIDDLE SCHOOL";0
"04901-00000";"BINGHAM ACADEMY - ALL SCHOOLS";"14000";"LEWIS CASS ISD";0;"00175";"BAKER ELEMENTARY SCHOOL";0
"04901-09444";"BINGHAM ACADEMY - BINGHAM ACADEMY";"14010";"CASSOPOLIS PUBLIC SCHOOLS";0;"00176";"GOLIGHTLY EDUCATION CENTER";0
"05010-00000";"ALBA PUBLIC SCHOOLS - ALL SCHOOLS";"14020";"DOWAGIAC UNION SCHOOL DISTRICT";0;"00178";"BALDWIN ELEMENTARY SCHOOL";0
"05010-06938";"ALBA PUBLIC SCHOOLS - ALBA SCHOOL";"14030";"EDWARDSBURG PUBLIC SCHOOLS";0;"00179";"BALDWIN HEIGHTS SCHOOL";0
"05035-00000";"CENTRAL LAKE PUBLIC SCHOOLS - ALL SCHOOLS";"14050";"MARCELLUS COMMUNITY SCHOOLS";0;"00181";"BALDWIN SENIOR HIGH SCHOOL";0
"05035-00609";"CENTRAL LAKE PUBLIC SCHOOLS - CENTRAL LAKE PUBLIC SCHOOL";"15000";"CHARLEVOIX-EMMET ISD";0;"00184";"BALLARD ELEMENTARY SCHOOL";0
"05040-00000";"BELLAIRE PUBLIC SCHOOLS - ALL SCHOOLS";"15010";"BEAVER ISLAND COMMUNITY SCHOOL";0;"00185";"WILBUR BILLS ELEMENTARY SCHOOL";0
"05040-00261";"BELLAIRE PUBLIC SCHOOLS - BELLAIRE MIDDLE/HIGH SCHOOL";"15020";"BOYNE CITY PUBLIC SCHOOLS";0;"00186";"BANGOR CENTRAL SCHOOL";0
"05040-05894";"BELLAIRE PUBLIC SCHOOLS - JOHN R RODGER ELEMENTARY SCHOOL";"15030";"BOYNE FALLS PUBLIC SCHOOL DISTRICT";0;"00189";"BANGOR HIGH SCHOOL";0
"05060-00000";"ELK RAPIDS SCHOOLS - ALL SCHOOLS";"15050";"CHARLEVOIX PUBLIC SCHOOLS";0;"00190";"CHRISTA MCAULIFFE MIDDLE SCHOOL";0
"05060-00662";"ELK RAPIDS SCHOOLS - ELK RAPIDS HIGH SCHOOL";"15060";"EAST JORDAN PUBLIC SCHOOLS";0;"00191";"BANGOR LINCOLN SCHOOL";0
"05060-00665";"ELK RAPIDS SCHOOLS - CHERRYLAND MIDDLE SCHOOL";"15901";"CONCORD ACADEMY:BOYNE";0;"00194";"BANGOR WEST CENTRAL SCHOOL";0
"05060-02090";"ELK RAPIDS SCHOOLS - LAKELAND ELEMENTARY SCHOOL";"15902";"NORTHWEST ACADEMY";0;"00198";"BARAGA AREA HIGH SCHOOL";0
"05060-07458";"ELK RAPIDS SCHOOLS - MILL CREEK ELEMENTARY SCHOOL";"16000";"CHEB-OTSEGO-PRESQUE ISLE ESD";0;"00200";"BARBOUR MAGNET MIDDLE SCHOOL";0
"05065-00000";"ELLSWORTH COMMUNITY SCHOOL - ALL SCHOOLS";"16015";"CHEBOYGAN AREA SCHOOLS";0;"00201";"BARCLAY HILLS EDUCATION CENTER";0
"05065-05859";"ELLSWORTH COMMUNITY SCHOOL - ELLSWORTH COMMUNITY SCHOOL";"16050";"INLAND LAKES SCHOOLS";0;"00203";"BARHITTE ELEMENTARY SCHOOL";0
"05070-00000";"MANCELONA PUBLIC SCHOOLS - ALL SCHOOLS";"16070";"MACKINAW CITY PUBLIC SCHOOLS";0;"00204";"BARK RIVER-HARRIS JR/SR HIGH SCHOOL";0
"05070-02332";"MANCELONA PUBLIC SCHOOLS - MANCELONA ELEMENTARY SCHOOL";"16100";"WOLVERINE COMMUNITY SCHOOLS";0;"00213";"BARTON ELEMENTARY SCHOOL";0
"05070-02333";"MANCELONA PUBLIC SCHOOLS - MANCELONA HIGH SCHOOL";"17010";"SAULT STE. MARIE AREA SCHOOLS";0;"00214";"WYLIE ELEMENTARY SCHOOL";0
"05070-06599";"MANCELONA PUBLIC SCHOOLS - MANCELONA MIDDLE SCHOOL";"17050";"DETOUR AREA SCHOOLS";0;"00216";"BATES ELEMENTARY SCHOOL";0
"05901-00000";"CONCORD ACADEMY: ANTRIM - ALL SCHOOLS";"17090";"PICKFORD PUBLIC SCHOOLS";0;"00218";"BATH HIGH SCHOOL";0
"05901-08626";"CONCORD ACADEMY: ANTRIM - CONCORD MONTESSORI AND COMMUNITY SCHOOL";"17110";"RUDYARD AREA SCHOOLS";0;"00219";"BATH ELEMENTARY SCHOOL";0
"06010-00000";"ARENAC EASTERN SCHOOL DISTRICT - ALL SCHOOLS";"17140";"BRIMLEY AREA SCHOOLS";0;"00223";"BATTLE CREEK CENTRAL HIGH SCHOOL";0
"06010-06950";"ARENAC EASTERN SCHOOL DISTRICT - ARENAC EASTERN MIDDLE/HIGH SCHOOL";"17160";"WHITEFISH TOWNSHIP SCHOOLS";0;"00224";"BAUER ELEMENTARY SCHOOL";0
"06010-09267";"ARENAC EASTERN SCHOOL DISTRICT - ARENAC EASTERN ELEMENTARY SCHOOL";"17901";"JOSEPH K. LUMSDEN BAHWETING ANISHNABE ACADEMY";0;"00225";"BAUERWOOD SCHOOL";0
"06020-00000";"AU GRES-SIMS SCHOOL DISTRICT - ALL SCHOOLS";"17902";"OJIBWE CHARTER SCHOOL";0;"00227";"BAY CITY CENTRAL HIGH SCHOOL";0
"06020-00146";"AU GRES-SIMS SCHOOL DISTRICT - AU GRES-SIMS ELEMENTARY SCHOOL";"18010";"CLARE PUBLIC SCHOOLS";0;"00230";"MARLETTE ELEMENTARY";0
"06020-00147";"AU GRES-SIMS SCHOOL DISTRICT - AU GRES-SIMS MIDDLE AND HIGH SCHOOL";"18020";"FARWELL AREA SCHOOLS";0;"00232";"BEACH ELEMENTARY SCHOOL";0
"06050-00000";"STANDISH-STERLING COMMUNITY SCHOOLS - ALL SCHOOLS";"18060";"HARRISON COMMUNITY SCHOOLS";0;"00233";"BEACON ELEMENTARY SCHOOL";0
"06050-04049";"STANDISH-STERLING COMMUNITY SCHOOLS - STANDISH ELEMENTARY SCHOOL";"19000";"CLINTON COUNTY RESA";0;"00234";"BEADLE LAKE ELEMENTARY SCHOOL";0
"06050-04050";"STANDISH-STERLING COMMUNITY SCHOOLS - STANDISH-STERLING CENTRAL HIGH SCHOOL";"19010";"DEWITT PUBLIC SCHOOLS";0;"00235";"BEAL CITY HIGH SCHOOL";0
"06050-04068";"STANDISH-STERLING COMMUNITY SCHOOLS - STERLING ELEMENTARY SCHOOL";"19070";"FOWLER PUBLIC SCHOOLS";0;"00236";"BEAN ELEMENTARY SCHOOL";0
"06050-08901";"STANDISH-STERLING COMMUNITY SCHOOLS - STANDISH-STERLING MIDDLE SCHOOL";"19100";"BATH COMMUNITY SCHOOLS";0;"00237";"BEAR LAKE HIGH SCHOOL";0
"07010-00000";"ARVON TOWNSHIP SCHOOL DISTRICT - ALL SCHOOLS";"19120";"OVID-ELSIE AREA SCHOOLS";0;"00238";"CLEMENTE, ROBERTO ACADEMY";0
"07010-00128";"ARVON TOWNSHIP SCHOOL DISTRICT - ARVON TOWNSHIP SCHOOL";"19125";"PEWAMO-WESTPHALIA COMMUNITY SCHOOLS";0;"00241";"BEAVER ISLAND COMMUNITY SCHOOL";0
"07020-00000";"BARAGA AREA SCHOOLS - ALL SCHOOLS";"19140";"ST. JOHNS PUBLIC SCHOOLS";0;"00243";"BEAVERTON PRIMARY SCHOOL";0
"07020-00198";"BARAGA AREA SCHOOLS - BARAGA AREA HIGH SCHOOL";"20015";"CRAWFORD AUSABLE SCHOOLS";0;"00244";"BEAVERTON HIGH SCHOOL";0
"07020-05784";"BARAGA AREA SCHOOLS - PHILIP LATENDRESSE SCHOOL";"21010";"ESCANABA AREA PUBLIC SCHOOLS";0;"00249";"BEDFORD SCHOOL";0
"07040-00000";"L'ANSE AREA SCHOOLS - ALL SCHOOLS";"21025";"GLADSTONE AREA SCHOOLS";0;"00250";"BEDFORD SENIOR HIGH SCHOOL";0
"07040-04149";"L'ANSE AREA SCHOOLS - L'ANSE HIGH SCHOOL";"21060";"RAPID RIVER PUBLIC SCHOOLS";0;"00253";"BEECHER HIGH SCHOOL";0
"07040-05002";"L'ANSE AREA SCHOOLS - SULLIVAN ELEMENTARY SCHOOL";"21065";"BIG BAY DE NOC SCHOOL DISTRICT";0;"00255";"BEECHVIEW ELEMENTARY SCHOOL";0
"07040-08841";"L'ANSE AREA SCHOOLS - L'ANSE MIDDLE SCHOOL";"21090";"BARK RIVER-HARRIS SCHOOL DISTRICT";0;"00261";"BELLAIRE MIDDLE/HIGH SCHOOL";0
"08010-00000";"DELTON-KELLOGG SCHOOL DISTRICT - ALL SCHOOLS";"21135";"MID PENINSULA SCHOOL DISTRICT";0;"00262";"BELLE ANN ELEMENTARY SCHOOL";0
"08010-00900";"DELTON-KELLOGG SCHOOL DISTRICT - DELTON-KELLOGG HIGH SCHOOL";"22010";"IRON MOUNTAIN PUBLIC SCHOOLS";0;"00263";"SOUTH MIDDLE SCHOOL";0
"08010-00901";"DELTON-KELLOGG SCHOOL DISTRICT - DELTON KELLOGG ELEM. SCHOOL";"22025";"NORWAY-VULCAN AREA SCHOOLS";0;"00264";"BELLEVILLE HIGH SCHOOL";0
"08010-06422";"DELTON-KELLOGG SCHOOL DISTRICT - DELTON-KELLOGG MIDDLE SCHOOL";"22030";"BREITUNG TOWNSHIP SCHOOLS";0;"00265";"BELLEVUE ELEMENTARY SCHOOL";0
"08030-00000";"HASTINGS AREA SCHOOL DISTRICT - ALL SCHOOLS";"22045";"NORTH DICKINSON COUNTY SCHOOLS";0;"00267";"BELLEVUE HIGH SCHOOL";0
"08030-00077";"HASTINGS AREA SCHOOL DISTRICT - NORTHEASTERN ELEMENTARY SCHOOL";"23010";"BELLEVUE COMMUNITY SCHOOLS";0;"00268";"BELLVIEW  ELEMENTARY SCHOOL";0
"08030-01606";"HASTINGS AREA SCHOOL DISTRICT - CENTRAL ELEMENTARY SCHOOL";"23030";"CHARLOTTE PUBLIC SCHOOLS";0;"00269";"BELMONT ELEMENTARY SCHOOL";0
"08030-01607";"HASTINGS AREA SCHOOL DISTRICT - HASTINGS MIDDLE SCHOOL";"23050";"EATON RAPIDS PUBLIC SCHOOLS";0;"00270";"BENDLE HIGH SCHOOL";0
